ID_REGISTRO,ID_IOT,VL_COORDX,VL_COORDY,VL_COORDZ,DTH_REGISTRO,BSSID,RSSI
109,1,8.26,0.78,0.57,2025-07-31 00:50:55,24:FD:0D:D7:17:4A,-50
110,1,8.26,0.78,0.57,2025-07-31 00:51:04,24:FD:0D:D7:17:4A,-54
111,1,8.26,0.78,0.57,2025-07-31 00:51:12,24:FD:0D:D7:17:4A,-57
112,1,8.26,0.78,0.57,2025-07-31 00:51:21,24:FD:0D:D7:17:4A,-51
113,2,2.96,0.0,0.5,2025-07-31 00:51:25,24:FD:0D:D7:17:4A,-65
114,1,8.26,0.78,0.57,2025-07-31 00:51:30,24:FD:0D:D7:17:4A,-51
115,2,2.96,0.0,0.5,2025-07-31 00:51:33,24:FD:0D:D7:17:4A,-63
116,1,8.26,0.78,0.57,2025-07-31 00:51:39,24:FD:0D:D7:17:4A,-52
117,2,2.96,0.0,0.5,2025-07-31 00:51:42,24:FD:0D:D7:17:4A,-63
118,1,8.26,0.78,0.57,2025-07-31 00:51:47,24:FD:0D:D7:17:4A,-53
119,2,2.96,0.0,0.5,2025-07-31 00:51:51,24:FD:0D:D7:17:4A,-65
120,1,8.26,0.78,0.57,2025-07-31 00:51:56,24:FD:0D:D7:17:4A,-51
121,2,2.96,0.0,0.5,2025-07-31 00:52:00,24:FD:0D:D7:17:4A,-58
122,1,8.26,0.78,0.57,2025-07-31 00:52:05,24:FD:0D:D7:17:4A,-51
123,2,2.96,0.0,0.5,2025-07-31 00:52:09,24:FD:0D:D7:17:4A,-58
124,1,8.26,0.78,0.57,2025-07-31 00:52:14,24:FD:0D:D7:17:4A,-52
125,2,2.96,0.0,0.5,2025-07-31 00:52:17,24:FD:0D:D7:17:4A,-58
126,1,8.26,0.78,0.57,2025-07-31 00:52:23,24:FD:0D:D7:17:4A,-52
127,2,2.96,0.0,0.5,2025-07-31 00:52:26,24:FD:0D:D7:17:4A,-61
128,1,8.26,0.78,0.57,2025-07-31 00:52:32,24:FD:0D:D7:17:4A,-52
129,2,2.96,0.0,0.5,2025-07-31 00:52:35,24:FD:0D:D7:17:4A,-61
130,1,8.26,0.78,0.57,2025-07-31 00:52:41,24:FD:0D:D7:17:4A,-51
131,2,2.96,0.0,0.5,2025-07-31 00:52:44,24:FD:0D:D7:17:4A,-61
132,1,8.26,0.78,0.57,2025-07-31 00:52:50,24:FD:0D:D7:17:4A,-51
133,2,2.96,0.0,0.5,2025-07-31 00:52:53,24:FD:0D:D7:17:4A,-58
134,1,8.26,0.78,0.57,2025-07-31 00:52:59,24:FD:0D:D7:17:4A,-52
135,2,2.96,0.0,0.5,2025-07-31 00:53:02,24:FD:0D:D7:17:4A,-57
136,1,8.26,0.78,0.57,2025-07-31 00:53:08,24:FD:0D:D7:17:4A,-55
137,2,2.96,0.0,0.5,2025-07-31 00:53:11,24:FD:0D:D7:17:4A,-58
138,1,8.26,0.78,0.57,2025-07-31 00:53:16,24:FD:0D:D7:17:4A,-52
139,2,2.96,0.0,0.5,2025-07-31 00:53:19,24:FD:0D:D7:17:4A,-58
140,1,8.26,0.78,0.57,2025-07-31 00:53:25,24:FD:0D:D7:17:4A,-54
141,2,2.96,0.0,0.5,2025-07-31 00:53:28,24:FD:0D:D7:17:4A,-58
142,1,8.26,0.78,0.57,2025-07-31 00:53:34,24:FD:0D:D7:17:4A,-52
143,2,2.96,0.0,0.5,2025-07-31 00:53:37,24:FD:0D:D7:17:4A,-58
144,1,8.26,0.78,0.57,2025-07-31 00:53:42,24:FD:0D:D7:17:4A,-53
145,2,2.96,0.0,0.5,2025-07-31 00:53:46,24:FD:0D:D7:17:4A,-57
146,2,2.96,0.0,0.5,2025-07-31 00:53:55,24:FD:0D:D7:17:4A,-61
147,2,2.96,0.0,0.5,2025-07-31 00:54:04,24:FD:0D:D7:17:4A,-58
148,1,8.26,0.78,0.57,2025-07-31 00:54:10,24:FD:0D:D7:17:4A,-52
149,2,2.96,0.0,0.5,2025-07-31 00:54:13,24:FD:0D:D7:17:4A,-62
150,1,8.26,0.78,0.57,2025-07-31 00:54:19,24:FD:0D:D7:17:4A,-51
151,2,2.96,0.0,0.5,2025-07-31 00:54:21,24:FD:0D:D7:17:4A,-57
